Time(s),Load(kN)
0.0,0.5211795371117568
0.20408163265306123,1.5855533564380293
0.40816326530612246,3.9382996067984384
0.6122448979591837,5.917521578014548
0.8163265306122449,8.084276662732956
1.0204081632653061,10.34289432247646
1.2244897959183674,11.95108406501273
1.4285714285714286,14.6613363239569
1.6326530612244898,16.467847704128314
1.836734693877551,18.004657477953316
2.0408163265306123,20.111301887535216
2.2448979591836737,22.464025905871438
2.4489795918367347,24.50589191260959
2.6530612244897958,27.65659932964693
2.857142857142857,28.160045035278472
3.0612244897959187,30.052905835788142
3.2653061224489797,33.12293433375066
3.4693877551020407,34.8238378052109
3.673469387755102,36.31939807821816
3.8775510204081636,38.77718062925399
4.081632653061225,40.32735860811586
4.285714285714286,43.04451391489462
4.4897959183673475,45.41142777201763
4.6938775510204085,47.803679195481315
4.8979591836734695,48.95175970891757
5.1020408163265305,51.23943139677657
5.3061224489795915,53.334003994911136
5.510204081632653,54.998842819479655
5.714285714285714,57.16730360773216
5.918367346938775,59.29255483608221
6.122448979591837,61.307919277427345
6.326530612244898,63.4452636220325
6.530612244897959,65.65671208477865
6.73469387755102,67.14412342638782
6.938775510204081,69.77644327696656
7.142857142857143,70.52746512521024
7.346938775510204,74.74111229042296
7.551020408163265,74.62802953647805
7.755102040816327,77.65299237576326
7.959183673469388,79.81373405297889
8.16326530612245,81.93692364482071
8.36734693877551,84.646114843059
8.571428571428571,84.93984101114373
8.775510204081632,87.68802268866847
8.979591836734695,90.3269190428243
9.183673469387756,91.8877249377413
9.387755102040817,93.47481963081766
9.591836734693878,95.5562321960999
9.795918367346939,98.20433543193224
10.0,99.93455920321153
